กรณีที่มีอาการ,กรณีที่ไม่มีอาการ
ใช่ครับ,ไม่มีอาการแบบนั้นนะครับ
มีค่ะ,ไม่นะคะ
ค่ะ,ไม่มีนะคะ
"ใช่ค่ะ, มีอาการค่ะ",ไม่ค่ะ
มีนิดหน่อยค่ะ,ไม่นะ
น่าจะปวดหัว,ไม่มีคร้าบ
ใช่ค่ะ,ไม่มีค่ะ
ไม่มีค่ะ,ไม่มีค่ะ
ไม่มีค่ะ,ไม่มีค่ะ
มีอาการแบบนั้นครับ,ไม่ครับ
ตอนนี้อาการเป็นประมาณนี้ค่ะ,ไม่ได้เป็นอะไรนะคะ
เป็นแบบที่กล่าวมาเลยค่ะ,ไม่มีอาการที่กล่าวมาข้างต้นค่ะ
"ใช่ค่ะ, มีอาการค่ะ",ไม่ค่ะ
มีคะ,คิดว่าไม่มี
น่าจะปวดใจ,ไม่มีคับ
มีค่ะ,ไม่มีค่ะ
ไม่มีค่ะ,ไม่มีค่ะ
ไม่มีค่ะ,ไม่มีค่ะ
ครับผม,ไม่เคยเป็นครับ
มีค่ะ ตอนนี้ปวดหัวข้างซ้ายข้างเดียว,ไม่เป็นค่ะ
มีอาการตามที่กล่าวมาข้างต้นค่ะ,คิดว่าไม่มีค่ะ
"ใช่ค่ะ, มีอาการค่ะ",ไม่ค่ะ
เล็กน้อย,น่าจะไม่
ไม้รู้ว่าตัวร้อนหรือว่าตัวเย็น,ไม่มีอาการอะไรเลยครับ
มีค่ะ,ไม่มีค่ะ
ไม่มีค่ะ,ไม่มีค่ะ
ไม่มีค่ะ,ไม่มีค่ะ
